date,LSTM,GRU
2019-10-20,33444.42,30508.809
2019-10-27,31378.27,30052.33
2019-11-03,28838.23,29299.822
2019-11-10,27695.148,28690.678
2019-11-17,29516.684,28268.412
2019-11-24,33711.496,28347.12
2019-12-01,37277.09,29100.299
2019-12-08,38045.14,30209.398
2019-12-15,37418.523,30884.043
2019-12-22,34174.094,31020.543
2019-12-29,27144.523,30038.611
2020-01-05,20321.145,28380.28
2020-01-12,19973.014,26873.826
2020-01-19,26158.756,25931.936
2020-01-26,34630.38,26227.988
2020-02-02,40707.664,28433.309
2020-02-09,44768.79,30903.656
2020-02-16,47151.92,32624.018
2020-02-23,45074.027,33970.465
2020-03-01,41783.043,34561.57
2020-03-08,40023.13,34090.273
2020-03-15,41975.074,33778.293
2020-03-22,43981.8,33733.67
2020-03-29,41497.79,33710.582
2020-04-05,34079.164,32840.86
2020-04-12,22310.838,31275.879
2020-04-19,14830.286,28009.805
2020-04-26,10724.433,24942.05
2020-05-03,10259.885,22528.836
2020-05-10,11740.037,21218.158
2020-05-17,14040.687,20896.703
2020-05-24,16292.853,21133.078
2020-05-31,17041.527,21609.299
2020-06-07,15364.89,21885.338
2020-06-14,13035.889,21817.24
2020-06-21,10785.139,21314.312
2020-06-28,8785.342,20530.791
2020-07-05,7260.285,19702.11
2020-07-12,5587.3657,19109.49
2020-07-19,5677.0933,18436.68
2020-07-26,6461.643,18164.033
2020-08-02,8026.191,18229.455
2020-08-09,10126.828,18553.16
2020-08-16,11940.979,19146.28
2020-08-23,13539.634,19806.877
2020-08-30,15048.356,20514.184
2020-09-06,21816.104,21753.764
