,LSTM,GRU
180,-0.9148936,0.060828034
181,-0.7879703,0.076934144
182,-0.5836539,0.09459279
183,-0.26412243,0.11347611
184,0.15886478,0.13312155
185,0.56762034,0.15296957
186,0.87022936,0.17242922
187,1.0711826,0.19095477
188,1.201942,0.20810965
189,1.2877551,0.22360069
190,1.3450162,0.23728067
191,1.3839138,0.24912798
192,1.4107679,0.25921142
193,1.4295534,0.26765475
194,1.4428173,0.2746063
195,1.4522208,0.28021735
196,1.4588678,0.2846294
197,1.4634949,0.28796366
