iter	Passed	Remaining
898	68303	7673
899	68376	7597
900	68458	7522
901	68534	7446
902	68611	7370
903	68680	7293
904	68747	7216
905	68825	7140
906	68894	7064
907	68962	6987
908	69029	6910
909	69093	6833
910	69165	6757
911	69242	6681
912	69328	6606
913	69405	6530
914	69489	6455
915	69569	6379
916	69640	6303
917	69717	6227
918	69791	6151
919	69858	6074
920	69933	5998
921	70000	5921
922	70065	5845
923	70128	5768
924	70205	5692
925	70284	5616
926	70369	5541
927	70449	5465
928	70516	5389
929	70581	5312
930	70642	5235
931	70713	5159
932	70769	5082
933	70830	5005
934	70892	4928
935	70961	4852
936	71030	4775
937	71092	4699
938	71151	4622
939	71220	4545
940	71286	4469
941	71344	4392
942	71427	4317
943	71500	4241
944	71566	4165
945	71630	4088
946	71696	4012
947	71770	3936
948	71839	3860
949	71899	3784
950	71970	3708
951	72046	3632
952	72115	3556
953	72193	3481
954	72271	3405
955	72349	3329
956	72414	3253
957	72469	3177
958	72568	3102
959	72651	3027
960	72725	2951
961	72806	2875
962	72899	2800
963	72973	2725
964	73040	2649
965	73120	2573
966	73202	2498
967	73272	2422
968	73336	2346
969	73405	2270
970	73485	2194
971	73547	2118
972	73620	2042
973	73685	1966
974	73749	1891
975	73828	1815
976	73901	1739
977	73965	1663
978	74038	1588
979	74122	1512
980	74187	1436
981	74257	1361
982	74322	1285
983	74383	1209
984	74440	1133
985	74513	1057
986	74580	982
987	74649	906
988	74719	831
989	74784	755
990	74852	679
991	74922	604
992	74988	528
993	75041	452
994	75116	377
995	75184	301
996	75260	226
997	75330	150
998	75407	75
999	75476	0
